Issue Key;Created Date;Коммуникация направлена;Новая;Отклонен;Размещено в БЗ;Согласовано ЦПК;Согласовано с бизнесом;Согласовано с маркетингом;ХОЛД;Resolution Date;T2M (days)
CAMPEIGN-37915;2025-08-18 11:18:48;77.2527;1.065;0.0636;0.003;0.0246;7.0175;0.6262;0.0;2025-11-12 12:34:33;86.05260416666667
CAMPEIGN-37925;2025-08-18 12:56:19;63.842;2.0423999999999998;0.0;2.7506;1.4721;1.1245;0.004;14.7494;2025-11-12 12:34:33;85.98488425925926
CAMPEIGN-37941;2025-08-19 10:04:14;55.2465;6.2058;0.0;0.0081;22.9809;0.6611;0.0019;0.0;2025-11-12 12:34:32;85.104375
CAMPEIGN-37988;2025-08-20 11:42:44;76.2241;5.1411;0.0;0.0082;2.0034;0.647;0.0121;0.0;2025-11-12 12:34:31;84.03596064814815
CAMPEIGN-38019;2025-08-21 11:20:07;0.0;0.0256;83.0261;0.0;0.0;0.0;0.0;0.0;2025-11-12 12:34:30;83.0516550925926
CAMPEIGN-38039;2025-08-21 15:00:07;50.166;7.8195;0.0;0.0179;13.9228;3.8997;0.0875;6.9853;2025-11-12 12:34:30;82.89887731481481
CAMPEIGN-38055;2025-08-22 10:56:40;54.2593;4.2424;0.0;0.0123;8.9445;13.6787;0.0017;0.929;2025-11-12 12:34:29;82.06792824074074
CAMPEIGN-38079;2025-08-25 08:21:42;0.0;2.2396000000000003;51.188;0.0;0.0;4.8482;0.0;20.899900000000002;2025-11-12 12:34:29;79.17554398148148
CAMPEIGN-38083;2025-08-25 08:57:57;63.9131;0.2572;0.0;0.0491;4.3092;0.9148999999999999;0.6236;9.0832;2025-11-12 12:34:27;79.15034722222222
CAMPEIGN-38127;2025-08-26 11:21:22;0.0;22.1177;55.933;0.0;0.0;0.0;0.0;0.0;2025-11-12 12:34:26;78.05074074074074
CAMPEIGN-38133;2025-08-26 13:21:51;54.1903;1.0461;0.0;0.0643;9.8992;5.3781;0.597;6.792;2025-11-12 12:34:25;77.96706018518519
CAMPEIGN-38136;2025-08-26 14:21:40;43.7456;1.005;0.0;0.001;27.4243;0.0018;0.0079;5.7399;2025-11-12 12:34:24;77.92550925925926
CAMPEIGN-38138;2025-08-26 14:39:52;43.7453;0.9926;0.0;0.6383;26.5511;1.2672;0.0046;4.7139;2025-11-12 12:34:23;77.91285879629629
CAMPEIGN-38141;2025-08-26 15:42:00;43.745;0.9503;0.0;0.0232;19.4593;6.7512;0.0079;6.9328;2025-11-12 12:34:22;77.86969907407408
CAMPEIGN-38164;2025-08-27 09:12:04;43.7447;7.154;0.0;0.0023;21.4983;2.0374999999999996;2.5531;0.1506;2025-11-12 12:34:22;77.14048611111112
CAMPEIGN-38168;2025-08-27 10:05:11;49.2591;6.0493;0.0;0.6387;1.0182;0.052700000000000004;0.276;19.8096;2025-11-12 12:34:21;77.10358796296296
CAMPEIGN-38182;2025-08-27 11:03:14;43.7445;7.0798;0.0;0.0233;19.4597;6.7495;0.0065;0.0;2025-11-12 12:34:20;77.06326388888888
CAMPEIGN-38196;2025-08-27 16:52:28;29.156;4.9531;0.0;0.6385;21.1212;0.6738;0.0803;20.1977;2025-11-12 12:34:19;76.82072916666667
CAMPEIGN-38225;2025-08-29 05:03:28;0.0;0.0942;58.8221;0.0;0.0;0.0375;0.0;16.3593;2025-11-12 12:34:18;75.31307870370371
CAMPEIGN-38226;2025-08-29 05:07:41;58.1373;0.0912;0.0;0.075;0.0078;16.4043;0.5946;0.0;2025-11-12 12:34:17;75.31013888888889
CAMPEIGN-38239;2025-08-29 09:57:26;39.9407;0.0264;0.0;0.0015;10.1188;17.9715;0.0544;6.9956;2025-11-12 12:34:17;75.10892361111111
CAMPEIGN-38243;2025-08-29 10:17:36;22.9732;3.2111;0.0;0.0018;48.1967;0.6909;0.0212;0.0;2025-11-12 12:34:16;75.0949074074074
CAMPEIGN-38284;2025-09-01 14:33:21;33.0617;13.8431;0.0;0.0032;0.0084;2.2725;0.051300000000000005;22.6769;2025-11-12 12:34:15;71.91729166666667
CAMPEIGN-38286;2025-09-01 14:35:17;51.2404;3.8172;0.0;0.0092;0.0;14.2104;2.6387;0.0;2025-11-12 12:34:14;71.9159375
CAMPEIGN-38294;2025-09-01 15:02:32;12.8507;3.794;0.0;0.0097;34.2933;0.2627;0.0069;20.6797;2025-11-12 12:34:14;71.89701388888889
CAMPEIGN-38295;2025-09-01 15:10:29;21.2267;1.9153;0.0;0.0095;25.9174;16.7485;0.0094;6.0648;2025-11-12 12:34:13;71.89148148148148
CAMPEIGN-38296;2025-09-01 15:15:53;43.7477;3.784;0.0;0.0272;7.4745;0.265;2.6555;13.9338;2025-11-12 12:34:12;71.8877199074074
CAMPEIGN-38297;2025-09-01 15:39:15;43.1709;0.9809;0.0;0.6295;7.1058;8.1628;0.1086;11.713;2025-11-12 12:34:11;71.87148148148148
CAMPEIGN-38333;2025-09-03 08:06:00;13.048;2.1094;0.0;0.5882;9.8277;21.1242;0.1113;23.377499999999998;2025-11-12 12:34:10;70.18622685185186
CAMPEIGN-38334;2025-09-03 08:08:45;0.0;2.109;68.0421;0.0;0.0;0.0;0.0;0.0332;2025-11-12 12:34:09;70.18430555555555
CAMPEIGN-38335;2025-09-03 08:08:54;0.0;2.1084;68.0422;0.0;0.0;0.0;0.0;0.0336;2025-11-12 12:34:08;70.18418981481481
CAMPEIGN-38337;2025-09-03 08:15:41;0.0;2.1044;68.0426;0.0;0.0;0.0;0.0;0.0325;2025-11-12 12:34:08;70.17947916666667
CAMPEIGN-38339;2025-09-03 08:42:37;35.0237;5.1424;0.0;0.0095;12.1201;17.8639;0.001;0.0;2025-11-12 12:34:07;70.1607638888889
CAMPEIGN-38349;2025-09-03 11:20:23;41.206;1.9797;0.0;0.0077;12.7578;14.0954;0.0046;0.0;2025-11-12 12:34:06;70.05119212962963
