Employee Department;Field;Count
Департамент клиентского опыта и координации розничного бизнеса, Дирекция координации и развития розничного бизнеса, Управление методологии и сопровождения розничного бизнеса, Отдел методологии;status;4
Департамент клиентского опыта и координации розничного бизнеса, Дирекция координации и развития розничного бизнеса, Управление методологии и сопровождения розничного бизнеса, Отдел методологии;Оценка выполнения;4
Департамент клиентского опыта и координации розничного бизнеса, Дирекция координации и развития розничного бизнеса, Управление методологии и сопровождения розничного бизнеса, Отдел методологии;Link;1
Департамент клиентского опыта и координации розничного бизнеса, Дирекция координации и развития розничного бизнеса, Управление методологии и сопровождения розничного бизнеса, Отдел методологии;description;1
Департамент клиентского опыта и координации розничного бизнеса, Дирекция координации и развития розничного бизнеса, Управление методологии и сопровождения розничного бизнеса, Отдел методологии;Комментарий к оценке;1
Департамент клиентского опыта и координации розничного бизнеса, Дирекция развития клиентского опыта, Управление улучшения клиентского опыта и внедрения сервис-дизайна;Attachment;1
Департамент клиентского опыта и координации розничного бизнеса, Дирекция развития клиентского опыта, Управление улучшения клиентского опыта и внедрения сервис-дизайна;Link;1
Департамент клиентского опыта и координации розничного бизнеса, Дирекция развития клиентского опыта, Управление улучшения клиентского опыта и внедрения сервис-дизайна;description;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта;status;3
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта;Attachment;2
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта;Link;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта;assignee;1
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;Attachment;19
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;status;2
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;Оценка выполнения;2
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;Способ уведомления клиентов;2
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;Текст рассылки или сам макет;2
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;description;1
