Employee Department;Total Actions;Top 3 Operations
Департамент развития процессов сервиса и взыскания, Дирекция развития процессов, Управление поддержки и развития процессов доставки и продаж, Отдел процессов сервиса дистанционных продаж;37;Attachment (20), description (9), assignee (3)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития процессов оформления и сопровождения клиента в Банке, Отдел оптимизации и развития автоматических процессов;35;Attachment (26), Link (3), description (2)
Департамент развития цифровых каналов юридических лиц, Управление развития API;34;description (8), Attachment (7), assignee (5)
Департамент развития платформы электронной коммерции, Дирекция развития продуктов и процессов, Управление продвижения отраслевых предложений;33;Attachment (12), assignee (4), Способ уведомления клиентов (4)
Департамент развития эквайринга и платежных сервисов, Дирекция развития эквайринга, Управление массовых выплат;33;Link (9), status (4), Количество клиентов (4)
Департамент развития бизнеса и инфраструктуры, Дирекция аналитики, развития продуктов и инфраструктуры инвестиционного бизнеса;33;Attachment (12), Link (8), description (5)
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел развития отчетности и аналитики ММБ;31;Attachment (23), status (2), Комментарий к оценке (2)
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел методологии и диагностики процессов;30;Attachment (19), status (2), Оценка выполнения (2)
Департамент онлайн-продаж, Дирекция онлайн-продаж, Отдел онлайн-продаж корпоративного бизнеса;28;Описание проекта/задачи бизнеса (10), assignee (7), Link (4)
Департамент технологического развития малого и микробизнеса, Дирекция технологического развития процессов оформления и сопровождения клиента в банке и НФС;28;RemoteIssueLink (17), Attachment (3), description (3)
Департамент развития платформы электронной коммерции, Дирекция продаж, Управление продаж;28;Attachment (21), RemoteIssueLink (2), Цель рассылки для банка (2)
Цифровой офис корпоративного бизнеса, Дирекция развития цифровых продаж среднего бизнеса, Управление развития цифровых каналов среднего бизнеса;27;Attachment (12), description (8), Link (3)
Департамент повышения эффективности операционной деятельности, Управление методологии и операционных рисков, Отдел операционно-сервисной поддержки бизнеса;26;assignee (16), Attachment (3), Comment (2)
Дирекция образовательной платформы для предпринимателей;24;Attachment (15), Текст рассылки или сам макет (3), Куда мы ведем клиента из рассылки/баннера (2)
Департамент развития небанковских сервисов, Дирекция развития страховых продуктов;24;Текст рассылки или сам макет (7), Описание проекта/задачи бизнеса (5), Критерии отбора целевой аудитории (3)
Департамент развития эквайринга и платежных сервисов, Дирекция сопровождения эквайринга;23;Attachment (22), RemoteIssueLink (1)
Департамент развития партнерских продаж и микробизнеса, Управление по продажам и развитию микробизнеса, Отдел развития процессов продаж;23;Attachment (6), assignee (5), summary (3)
Департамент разработки цифровых сервисов, Дирекция автоматизации кредитных розничных продуктов;21;Attachment (6), Link (4), RemoteIssueLink (4)
"Департамент контента и пользовательского опыта, Дирекция ""Коммуникационный дизайн"", Отдел ""Коммуникационный дизайн корпоративного бизнеса""";19;Attachment (15), Comment (2), status (2)
Цифровой офис корпоративного бизнеса, Дирекция развития цифровых продаж среднего бизнеса, Управление развития клиентского опыта;19;Link (5), assignee (4), Attachment (2)
Департамент комплаенс-контроля, Дирекция финансового мониторинга, Управление методологического обеспечения процессов ПОД/ФТ/ФРОМУ, Отдел развития процессов идентификации и оценки риска клиента по ПОД/ФТ/ФРОМУ;18;Attachment (8), Component (6), Текст рассылки или сам макет (2)
Департамент клиентского опыта и координации розничного бизнеса, Дирекция координации и развития розничного бизнеса, Управление методологии и сопровождения розничного бизнеса, Отдел методологии;18;Attachment (7), status (4), Оценка выполнения (4)
Департамент гарантийного бизнеса и контрактного финансирования, Дирекция развития продаж, Управление по развитию и поддержке продаж;16;description (13), Attachment (1), summary (1)
Департамент развития кросс-блочных процессов и предложений для предпринимателей, Отдел развития кросс-блочных процессов;15;Attachment (11), assignee (2), resolution (1)
Департамент развития процессов сервиса и взыскания, Дирекция развития процессов, Отдел процессов сервиса юридических лиц;14;Attachment (14)
Департамент технологического развития корпоративного бизнеса, Дирекция технологического развития инвестиционного бизнеса;14;Link (4), description (3), RemoteIssueLink (2)
Департамент по управлению эффективностью и реализации проектов информационных технологий, Дирекция реализации интеграционных проектов для бизнеса, Отдел аналитики и реализации новых решений;13;Link (4), Attachment (2), RemoteIssueLink (2)
Департамент комплаенс-контроля, Дирекция международного комплаенса, Управление международного комплаенса, Отдел контроля внешних ограничений;12;description (4), Comment (2), summary (2)
Департамент развития программы лояльности и нефинансовых сервисов, Дирекция развития бизнеса с партнерами, Управление развития сервисов партнерских предложений;11;Link (3), Критерии отбора целевой аудитории (3), Охват клиентов в разрезе сегментов (2)
Дирекция образовательной платформы для предпринимателей, Отдел создания образовательного контента;10;Ссылка на лендинг (3), Текст рассылки или сам макет (2), assignee (1)
Департамент технологического развития малого и микробизнеса, Дирекция технологического развития кредитования малого бизнеса, гарантийного бизнеса и партнерского канала;10;Attachment (5), description (4), assignee (1)
Департамент продаж и развития малого и микробизнеса, Дирекция по развитию и обслуживанию клиентов малого и микробизнеса, Управление по развитию отношений с клиентами;9;Attachment (7), description (2)
Департамент технологического развития корпоративного бизнеса, Дирекция технологического развития корпоративного кредитного процесса, Управление развития технологических решений корпоративного кредитного процесса;9;resolution (4), status (4), Comment (1)
Департамент развития малого и микробизнеса в партнерском канале;9;labels (5), Comment (1), assignee (1)
Департамент развития партнерских продаж и микробизнеса, Дирекция привлечения ключевых партнеров;9;Attachment (4), assignee (3), description (1)
Департамент развития онлайн каналов, Дирекция развития цифровых каналов юридических лиц;9;assignee (5), Attachment (4)
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития клиентского опыта, Отдел развития клиентского опыта в каналах привлечения и обслуживания;9;Link (5), Attachment (1), Comment (1)
